"tweet_timestamp"	"twitter_tweet_id"	"tweet_text"	"tweet_language"	"twitter_user_twitter_id"	"twitter_user_screenname"	"user_followers_count"	"user_favorites_count"	"user_created"	"user_location"	"tweet_retweet_count"	"tweet_place"	"tweet_user_mention_count"	"tweet_users_mentioned_screennames"	"tweet_users_mentioned_ids"	"tweet_hashtag_mention_count"	"tweet_hashtags_mentioned"	"tweet_url_count"	"tweet_shortened_urls_mentioned"	"tweet_full_urls_mentioned"	"user_description"	"user_friends_count"	"user_statuses_count"	"tweet_display_urls_mentioned"
"Sun Feb 08 20:15:19 +0000 2015"	"564517855589191680"	"&#12435;&#12316;&#12316;&#37707;&#12289;&#23551;&#21496;&#12289;&#12362;&#32905;&#12289;&#12459;&#12524;&#12540;&#12290;&#20170;&#39135;&#12409;&#12383;&#12356;&#12418;&#12398;&#65281;&#65281;&#12354;&#12540;&#20840;&#28982;&#23517;&#12428;&#12394;&#12356;"	"ja"	"569957530"	"erpy_85"	"461"	"495"	"Thu May 03 13:01:24 +0000 2012"	"横浜/渋谷/新宿"	"0"										"自分に甘々のクソ野郎"	"459"	"11639"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855568199681"	"&#12371;&#12398;&#20181;&#20107;&#12399;&#33136;&#12395;&#12367;&#12427;&#12397;&#12359;&#65374;&#12288;#&#21487;&#24859;&#12377;&#12366;&#12427;&#29356; http://t.co/MVO62Kxpom"	"ja"	"2192134914"	"kawaisugiru_dog"	"1372"	"0"	"Wed Nov 13 11:28:10 +0000 2013"	""	"0"					"1"	"可愛すぎる犬"				"可愛すぎて困っちゃうワンちゃん画像をツイートしています。　少しでも可愛いと思った方はフォロー＆ＲＴお願いします。　★みなさんの愛犬画像も募集していますので、是非（画像とともに）気軽にメッセージ下さい。投稿に反映させて頂きます！"	"1155"	"10388"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855581208577"	"RT @lmlyricpics: These Four Walls // Little Mix http://t.co/vjALNisIvE"	"en"	"485214814"	"iLoveedlovato"	"869"	"1156"	"Mon Feb 06 23:36:08 +0000 2012"	"Argentina"	"0"		"1"	"lmlyricpics"	"2962797423"						"{Jethro alonestar Sheeran (primo de Ed Sheeran) Follow me}



06/05/14 mejor día de mi vida.    ❤Larry Shipper ❤"	"1358"	"3800"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855589584897"	"same :) @ArianatorPalace"	"en"	"2728224973"	"VegannAriana"	"444"	"2364"	"Wed Aug 13 02:03:07 +0000 2014"	"Honeymoon ave."	"0"		"1"	"ArianatorPalace"	"1330383481"						"cause if the water dries up, and the moon stops shining, stars fall, and the world goes blind boy you know i'll be savin my love for u ☁️☁️☁️"	"154"	"1271"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855568199682"	"&#1575;&#1604;&#1604;&#1607;&#1605; &#1575;&#1587;&#1578;&#1585;&#1606;&#1575; &#1601;&#1608;&#1602; &#1575;&#1604;&#1575;&#1585;&#1590;
&#1608;&#1575;&#1587;&#1578;&#1585;&#1606;&#1575; &#1578;&#1581;&#1578; &#1575;&#1604;&#1575;&#1585;&#1590; &#1608;&#1575;&#1587;&#1578;&#1585;&#1606;&#1575; &#1610;&#1608;&#1605; &#1575;&#1604;&#1593;&#1585;&#1590;"" #ZDRSEDK4 
 http://t.co/7Q0gqEMtU0"""	"ar"	"2950519986"	"nesm45"	"76"	"147"	"Mon Dec 29 16:13:26 +0000 2014"	""	"0"					"1"	"ZDRSEDK4"				"{اقْتَرَبَ لِلنَّاسِ حِسَابُهُمْ وَهُمْ فِي غَفْلَةٍ مُعْرِضُونَ}."	"66"	"760"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855581208576"	"@dianamendes98 a que horas almocas amanha bby ?"	"pt"	"2282620470"	"ana_veiros"	"262"	"569"	"Wed Jan 08 21:00:27 +0000 2014"	""	"0"		"1"	"dianamendes98"	"2355239005"						"Follow me, please! 16* portugal"	"311"	"4826"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855568224256"	"Anda ingin tahu bagaimana untuk mendapatkan ribuan like di status anda silakan masuk di app ini http://t.co/jf7w51XBs2"	"in"	"1338680718"	"iekhavuu"	"65"	"0"	"Tue Apr 09 08:57:54 +0000 2013"	""	"0"							"1"	"http%3A%2F%2Ft.co%2Fjf7w51XBs2"	"http%3A%2F%2Fis.gd%2F7h4I7n"	"Haris Munandar (ʃƪ˘⌣˘)"	"42"	"3931"	"is.gd%2F7h4I7n"
"Sun Feb 08 20:15:19 +0000 2015"	"564517855580803073"	"JK&#12364;&#20808;&#29983;&#12395;&#21610;&#12356;&#12434;&#12363;&#12369;&#12390;&#12415;&#12383;&#12290;&#12288;http://t.co/TT7EYTBM6q"	"ja"	"3007547744"	"nko_qrj62585"	"239"	"1"	"Mon Feb 02 05:00:45 +0000 2015"	""	"0"							"1"	"http%3A%2F%2Ft.co%2FTT7EYTBM6q"	"http%3A%2F%2Fvine.co%2Fv%2FOiK3FtPU1Lh"	"自動フォロー返し１００％ＯＫ！ツイ助でフォローバック自動化中！１００％返せます！#ツイ助　#自動フォロー返し　#相互フォロー"	"254"	"120"	"vine.co%2Fv%2FOiK3FtPU1Lh"
"Sun Feb 08 20:15:19 +0000 2015"	"564517855593394176"	"RT @thomasuconiqum: &#12371;&#12398;&#31070;&#12450;&#12503;&#12522;&#12469;&#12452;&#12467;&#12540;&#65367;&#65367;
&#26144;&#20687;&#12418;&#32186;&#40599;&#12391;&#12463;&#12458;&#12522;&#12486;&#12451;&#12540;&#39640;&#12377;&#12366;www

&#8658;http://t.co/4uR65IA8QA

&#12414;&#12373;&#12395;&#29579;&#36947;!&#12381;&#12375;&#12390;&#33267;&#39640;!
&#12497;&#12474;&#12523;&#12395;&#39165;&#12365;&#12383;&#12425;&#12467;&#12524;&#12391;&#12377;&#65367; http://t.co/R3X6QAOn6J"	"ja"	"2217695300"	"ninavypajemu"	"679"	"0"	"Wed Nov 27 12:26:25 +0000 2013"	""	"0"		"1"	"thomasuconiqum"	"2830390900"			"1"	"http%3A%2F%2Ft.co%2F4uR65IA8QA"	"http%3A%2F%2Ftwi.xsrv.jp%2Fejp7u"		"1968"	"147"	"twi.xsrv.jp%2Fejp7u"
"Sun Feb 08 20:15:19 +0000 2015"	"564517855576997889"	"@Alisha_Kelsey sdv?"	"und"	"1554442080"	"focanobieber"	"1238"	"9"	"Sat Jun 29 01:42:07 +0000 2013"	"03/11/2013"	"0"		"1"	"Alisha_Kelsey"	"424958675"						"recomeçando"	"997"	"5027"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855568211972"	"RT @majed_alshibani: https://t.co/anqiIQtySC

&#1605;&#1593;&#1607;&#1605; &#1581;&#1602; &#1610;&#1586;&#1593;&#1604;&#1608;&#1606;
&#1587;&#1572;&#1575;&#1604; &#1589;&#1593;&#1576; &#1593;&#1604;&#1609; &#1575;&#1604;&#1606;&#1589;&#1585;&#1575;&#1608;&#1610;&#1610;&#1606; &#128540;"	"ar"	"2276219495"	"SM__57"	"460"	"555"	"Sun Jan 12 06:07:44 +0000 2014"	"#HFC"	"0"		"1"	"majed_alshibani"	"2887956217"			"1"	"https%3A%2F%2Ft.co%2FanqiIQtySC"	"https%3A%2F%2Fvine.co%2Fv%2FOUe3zJHgxUu"	"‏‏‏‏‏‏‏‏‏‏‏‏اللهم خفف حملنا على الصراط واجعلنا ممن يعبرونه إلى الجنه بسلام .."	"180"	"2445"	"vine.co%2Fv%2FOUe3zJHgxUu"
"Sun Feb 08 20:15:19 +0000 2015"	"564517855589195776"	"@yuji42pengin &#26085;&#24046;&#12375;&#12434;&#28020;&#12403;&#12390;&#12365;&#12394;&#12373;&#12356;&#12290;&#12354;&#12387;&#12383;&#12414;&#12387;&#12390;&#12414;&#12377;&#12394;&#12353;"	"ja"	"2957071248"	"mjenova555"	"26"	"47"	"Sat Jan 03 09:54:27 +0000 2015"	"唸る『リビドー』を力に。"	"0"		"1"	"yuji42pengin"	"453089167"						"1994年 フィリピン生まれの名古屋育ち。 趣味はバイクに艦これ。マグナ乗ってます。アニメ、ゲーム好きの萌え豚。艦これにて、 高雄愛宕好き提督です！イベント関係のお仕事をしております。どうぞよろしくお願いします＾＾"	"28"	"453"	
